ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,,,,,
0.9243164,0.3007813,0.02685547,0.9360352,-0.3764648,0.07519531,-1,-2,-1,-1,-1,2,-2,-1,0,1,5,5,-2,-2,-19,0,-1.75,-1.75,-1.75,-10.0625,-10.0625,-10.0625,7.454993,2.998316,9.936547,2.806721,3.107144,6.462244,,,,,
0.934082,0.3198242,0.02929688,0.9990234,-0.4199219,0.0625,1,-1,-1,-2,2,0,-1,-5,-3,-3,-3,10,50,2,-14,-1,-0.9375,-0.9375,-0.9375,-3.5,-3.5,-3.5,7.459918,2.99848,9.9297,2.848256,3.129671,6.409762,,,,,
0.9414063,0.3535156,0.01171875,1.055176,-0.4794922,0.08935547,2,6,7,2,1,0,-2,1,-1,-2,-3,5,-24,-2,10,-1,-6.25,-6.25,-6.25,1.5,1.5,1.5,7.447159,3.007232,9.935392,2.929816,3.180182,6.319022,,,,,
0.9506836,0.3730469,0.008789063,1.028809,-0.5029297,0.184082,-6,14,15,2,1,0,-1,-5,-1,1,-1,4,14,-1,1,0,-13.9375,-13.9375,-13.9375,2.75,2.75,2.75,7.430344,3.015053,9.94553,3.061471,3.26604,6.179534,,,,,
1.02002,0.3691406,0.009765625,0.9677734,-0.5893555,0.3046875,0,7,23,-5,-3,-1,4,1,2,1,9,-3,6,8,-1,-1,-41.875,-41.875,-41.875,-6.3125,-6.3125,-6.3125,7.295756,3.065714,0.02291115,3.179725,3.390176,6.036871,,,,,
1.064941,0.3959961,0.06835938,0.8637695,-0.6557617,0.3701172,-1,8,11,8,1,0,-2,-1,2,3,26,13,5,0,0,3,-40.5625,-40.5625,-40.5625,-1,-1,-1,7.221074,3.097903,0.07842086,3.284874,3.552671,5.905092,,,,,
1.106445,0.4360352,0.1845703,0.7895508,-0.7016602,0.3959961,-2,-11,-6,5,-1,-5,-21,-4,-3,-3,-15,21,7,8,19,-3,-2.875,-2.875,-2.875,-7.8125,-7.8125,-7.8125,7.046561,3.195704,0.2506978,3.326559,3.641802,5.845448,,,,,
1,0.6230469,0.2431641,0.6645508,-0.7265625,0.4570313,-1,-13,-9,-33,-5,-4,-11,1,2,4,1,-5,-5,-2,-5,-3,32.1875,32.1875,32.1875,-1.125,-1.125,-1.125,6.919738,3.35068,0.4284701,3.401195,3.830487,5.736106,,,,,
1,0.6230469,0.2431641,0.6645508,-0.7265625,0.4570313,-1,-13,-9,-33,-5,-4,-11,1,2,4,1,-5,-5,-2,-5,-3,32.1875,32.1875,32.1875,-1.125,-1.125,-1.125,6.919738,3.35068,0.4284701,3.401195,3.830487,5.736106,,,,,
0.8764648,0.7578125,0.3959961,0.5771484,-0.6542969,0.5126953,0,-4,-6,76,-14,-3,-26,-5,-3,-10,-25,-6,-2,-6,-3,-1,1,1,1,-6.375,-6.375,-6.375,6.800375,3.54998,0.5888801,3.464746,4.025333,5.625602,,,,,
0.6875,0.6738281,0.456543,0.4345703,-0.7314453,0.4868164,0,-1,-13,-19,-8,-9,2,0,4,18,18,-3,1,-15,1,5,-8.3125,-8.3125,-8.3125,-18.0625,-18.0625,-18.0625,6.694436,3.775086,0.7132311,3.49511,4.226485,5.531106,,,,,
0.5751953,0.6987305,0.5239258,0.371582,-0.7250977,0.5927734,-2,-2,-16,-13,17,6,10,-1,-4,-5,-11,-8,-5,-1,-4,-1,1.0625,1.0625,1.0625,-10,-10,-10,6.636712,4.021531,0.7994453,3.518967,4.423773,5.441617,,,,,
0.4404297,0.7075195,0.5024414,0.3295898,-0.6704102,0.5551758,0,-1,-14,-36,-12,-3,-9,-2,2,-5,-14,-5,8,3,5,-2,3.9375,3.9375,3.9375,-2.3125,-2.3125,-2.3125,6.619148,4.150475,0.8351809,3.531491,4.520712,5.400331,,,,,
0.3330078,0.7231445,0.5039063,0.1455078,-0.6728516,0.5019531,-1,-4,-12,-8,-14,-7,-4,-1,0,-5,-6,1,8,-3,8,0,0.25,0.25,0.25,-26.125,-26.125,-26.125,6.595463,4.400491,0.8940943,3.5306,4.701965,5.323281,,,,,
0.1445313,0.684082,0.4633789,0.1381836,-0.7441406,0.5576172,1,8,16,-6,-7,-1,5,2,-1,-2,-2,2,12,10,15,1,2.875,2.875,2.875,-30.5625,-30.5625,-30.5625,6.580443,4.632482,0.9449748,3.505839,4.852815,5.254656,,,,,
0.09912109,0.7109375,0.4921875,0.04150391,-0.7241211,0.5708008,1,-4,0,-10,2,-1,-4,0,-3,0,3,9,6,6,-2,-2,13.375,13.375,13.375,-13.25,-13.25,-13.25,6.586398,4.828854,0.9875125,3.491089,4.975564,5.194752,,,,,
0.01708984,0.7338867,0.5048828,0.04638672,-0.6918945,0.5268555,-2,6,13,27,27,8,7,15,-2,1,2,-3,5,11,-5,-7,23,23,23,-24.5,-24.5,-24.5,6.602991,4.99068,1.022674,3.472106,5.065827,5.152037,,,,,
0.002441406,0.7558594,0.5024414,0.03369141,-0.7485352,0.5317383,2,-2,-5,-25,-23,-7,-19,-1,0,-1,-3,-1,-3,-4,-4,-1,30.875,30.875,30.875,-32.875,-32.875,-32.875,6.61932,5.05298,1.036832,3.45361,5.100731,5.136579,,,,,
-0.007324219,0.7875977,0.5,-0.03027344,-0.8217773,0.5834961,-1,14,8,14,6,-1,-3,-3,-1,-2,-5,-3,6,1,-3,-1,14.6875,14.6875,14.6875,-9.8125,-9.8125,-9.8125,6.64106,5.145343,1.060984,3.433813,5.152416,5.112729,,,,,
-0.03955078,0.7617188,0.5107422,-0.04052734,-0.7744141,0.5424805,-1,-5,0,-11,57,8,-6,-4,0,-1,-3,-7,-5,-12,1,-1,15.375,15.375,15.375,1.4375,1.4375,1.4375,6.648763,5.179156,1.071459,3.434507,5.171381,5.104171,,,,,
-0.1645508,0.9077148,0.2563477,-0.09082031,-0.7895508,0.5629883,0,-3,-6,2,-4,-2,0,-2,-1,-2,-3,-6,-4,5,2,3,32.125,32.125,32.125,-20.875,-20.875,-20.875,6.709778,5.250223,1.110582,3.41618,5.2105,5.091399,,,,,
-0.1948242,0.7949219,0.4697266,-0.09130859,-0.8378906,0.5581055,-2,-6,-9,-50,-6,-4,-5,-5,-3,-2,0,-5,-7,-2,-2,0,15.6875,15.6875,15.6875,6.0625,6.0625,6.0625,6.719072,5.261957,1.122488,3.413449,5.22169,5.087625,,,,,
-0.1020508,0.7114258,0.7768555,-0.08007813,-0.7861328,0.5239258,3,-3,1,0,5,-1,1,-3,-2,1,-3,-4,2,-5,3,1,12.1875,12.1875,12.1875,12.5625,12.5625,12.5625,6.716087,5.265832,1.146994,3.421,5.225511,5.088641,,,,,
-0.1650391,1.015137,0.1616211,-0.1469727,-0.8203125,0.534668,-1,-5,-5,-3,-13,-3,2,-1,-2,-2,-8,-19,2,0,2,-2,30.9375,30.9375,30.9375,-4.1875,-4.1875,-4.1875,6.748224,5.266482,1.163606,3.421982,5.23267,5.095026,,,,,
-0.8027344,0.8964844,0.3051758,-0.1162109,-0.8486328,0.5800781,-1,-1,-3,-13,0,-2,0,3,2,0,-2,4,-5,-3,-3,-2,4.5625,4.5625,4.5625,10.5,10.5,10.5,6.776827,5.319059,1.189982,3.427945,5.229529,5.098163,,,,,
0.2885742,1.006348,0.4140625,-0.1914063,-0.8095703,0.5424805,-7,-7,-4,-7,1,-2,3,3,-2,-3,-3,-1,-8,-10,1,1,0.3125,0.3125,0.3125,5.125,5.125,5.125,6.792322,5.323908,1.197296,3.438367,5.2332,5.095243,,,,,
-0.8725586,0.7148438,0.4179688,-0.1875,-0.8955078,0.5541992,0,-3,-2,-6,0,0,4,0,1,0,1,-9,-3,-8,-1,0,3.9375,3.9375,3.9375,2.625,2.625,2.625,6.798235,5.383261,1.177869,3.434713,5.238037,5.086921,,,,,
