ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR
0.9414063,0.309082,0.003417969,0.9511719,-0.5927734,0.02539063,1,8,-3,0,-1,0,-2,0,-2,-1,6,1,-3,-5,-5,0,-1,-1,-1,-1.6875,-1.6875,-1.6875,7.47697,2.989704,9.701321,2.719332,3.135126,6.512171
0.9384766,0.362793,-0.04052734,1.004395,-0.4682617,0.005371094,0,0,-3,1,-2,-1,0,-4,-1,-3,3,1,8,0,-6,-2,-14.375,-14.375,-14.375,23.4375,23.4375,23.4375,7.465801,3.000369,9.702834,2.766247,3.181163,6.486602
0.9848633,0.3149414,-0.01904297,0.9746094,-0.4814453,0.1044922,0,-1,-9,-5,-1,-1,-2,4,-3,0,0,5,3,-3,0,-2,-28.6875,-28.6875,-28.6875,5.875,5.875,5.875,7.41835,3.021106,9.719444,2.840827,3.237549,6.414871
0.9804688,0.390625,0.004394531,0.9926758,-0.5068359,0.1870117,2,4,14,4,4,-1,1,2,-3,0,-3,-2,-15,-1,0,-2,-9.6875,-9.6875,-9.6875,-7.5,-7.5,-7.5,7.345852,3.057486,9.779804,2.93161,3.317356,6.307081
1.048828,0.4160156,0.08007813,0.9702148,-0.5219727,0.2124023,0,0,-19,-2,2,0,3,1,-3,-2,-20,-33,-50,-1,-3,-1,-18.125,-18.125,-18.125,-14.625,-14.625,-14.625,7.220474,3.123149,9.894922,2.981514,3.366018,6.241025
1.076172,0.4077148,0.1459961,0.9711914,-0.5634766,0.2944336,-1,-13,-15,-8,-4,-3,14,2,-2,-3,-17,-3,-8,-2,0,-4,-6.1875,-6.1875,-6.1875,-20.5,-20.5,-20.5,7.140279,3.167332,9.977511,3.08057,3.483336,6.098197
1.093262,0.4926758,0.2304688,0.8725586,-0.6552734,0.3955078,0,-21,-21,-20,3,6,1,3,-2,1,-1,6,-9,-14,-2,-2,33.0625,33.0625,33.0625,-36.625,-36.625,-36.625,6.999487,3.294255,0.1600045,3.160215,3.631495,5.954473
0.9575195,0.7246094,0.347168,0.7558594,-0.7636719,0.4428711,-5,0,-3,9,-2,-2,14,0,0,-5,-1,9,8,-13,-1,-2,23.0625,23.0625,23.0625,-19.5625,-19.5625,-19.5625,6.887087,3.475483,0.3308998,3.234334,3.804296,5.809452
0.8212891,0.7324219,0.4916992,0.5683594,-0.6713867,0.5,-3,5,0,-7,-23,-14,0,0,-4,-2,-6,-25,-12,-1,-1,1,-15.375,-15.375,-15.375,7.5,7.5,7.5,6.765511,3.691675,0.4778127,3.332617,3.991854,5.658484
0.6669922,0.6723633,0.5195313,0.4750977,-0.6582031,0.5126953,5,7,6,-25,-5,-1,-24,0,-2,-5,-11,-19,-49,-3,-4,-4,-29.625,-29.625,-29.625,6.6875,6.6875,6.6875,6.703801,3.812315,0.540473,3.374314,4.093281,5.593019
0.6669922,0.6723633,0.5195313,0.3764648,-0.6860352,0.5361328,-2,6,11,-5,-2,-1,0,-4,0,0,-7,4,-9,-14,-4,-3,-29.625,-29.625,-29.625,-6.1875,-6.1875,-6.1875,6.703801,3.812315,0.540473,3.428835,4.297251,5.472965
0.3393555,0.6665039,0.5117188,0.3217773,-0.6831055,0.5219727,-3,-2,2,39,-35,-8,4,-5,-3,-4,1,-4,-3,9,-1,0,-4.0625,-4.0625,-4.0625,1.3125,1.3125,1.3125,6.60259,4.19578,0.6811998,3.452393,4.399078,5.417199
0.1455078,0.6450195,0.4697266,0.2001953,-0.7182617,0.4829102,1,1,3,11,-28,-6,0,0,1,-1,-2,4,-7,-6,-2,3,2.625,2.625,2.625,0.3125,0.3125,0.3125,6.560927,4.564342,0.7862287,3.486557,4.596258,5.316431
0.06152344,0.699707,0.4545898,0.144043,-0.6352539,0.2099609,0,-3,7,-6,-16,-2,-4,13,0,-2,-3,19,5,-13,6,0,12.3125,12.3125,12.3125,2.875,2.875,2.875,6.560726,4.772211,0.8417531,3.509902,4.851718,5.198584
0.08007813,0.6943359,0.4692383,-0.07128906,-0.7324219,0.4936523,4,6,7,7,-13,-4,-13,-3,-2,1,7,10,1,-6,-2,4,10,10,10,-1.375,-1.375,-1.375,6.563435,4.860382,0.8666441,3.510378,4.923565,5.174762
-0.01904297,0.7407227,0.4633789,0.03320313,-0.7260742,0.496582,1,0,-4,10,22,3,2,-5,-1,-2,-2,1,5,0,-3,-3,18.625,18.625,18.625,-11.125,-11.125,-11.125,6.578733,5.004155,0.9142856,3.50188,5.040026,5.139051
-0.01806641,0.7612305,0.503418,0.05615234,-0.8120117,0.5576172,1,0,-6,-3,-12,-2,3,1,1,0,21,27,1,1,1,-2,19.875,19.875,19.875,-11.6875,-11.6875,-11.6875,6.589577,5.055542,0.9339143,3.484696,5.109433,5.114651
-0.01513672,0.7885742,0.5214844,-0.02978516,-0.7705078,0.5834961,3,18,19,19,3,-1,-4,-1,0,-1,-7,-13,-13,-11,-3,-4,25.4375,25.4375,25.4375,5.625,5.625,5.625,6.622496,5.149584,0.981181,3.488927,5.158198,5.101968
-0.05078125,0.855957,0.512207,0.02490234,-0.7744141,0.5083008,-6,-12,-43,-11,-5,-3,-6,-1,-1,-1,-2,-15,-2,-12,-3,-2,14.8125,14.8125,14.8125,-13.1875,-13.1875,-13.1875,6.647926,5.178414,1.010595,3.479642,5.181399,5.102176
-0.05078125,0.8388672,0.5292969,0.01171875,-0.7944336,0.5976563,-3,-5,-5,-14,-8,-3,-2,-1,0,2,14,8,0,-2,0,-1,11.5,11.5,11.5,-18.0625,-18.0625,-18.0625,6.654737,5.184203,1.025176,3.471044,5.184722,5.101645
-0.02294922,0.8320313,0.6728516,-0.06201172,-0.8183594,0.6328125,1,0,-2,-29,-7,-4,-2,1,-2,-1,1,1,1,-7,-5,-1,0.6875,0.6875,0.6875,-1.1875,-1.1875,-1.1875,6.652844,5.198025,1.043859,3.467291,5.19406,5.09179
-0.6044922,0.875,0.581543,-0.1713867,-0.7768555,0.5673828,-2,-7,-1,8,6,2,-3,0,0,-2,1,5,3,4,-3,-4,12.875,12.875,12.875,4.5,4.5,4.5,6.657915,5.232201,1.046579,3.475237,5.206326,5.079637
0.05419922,0.8452148,0.5488281,-0.1884766,-0.859375,0.5991211,-4,10,-7,-3,-6,-4,-6,-14,0,-1,-3,0,-4,-4,-1,3,30.8125,30.8125,30.8125,-6.5625,-6.5625,-6.5625,6.660135,5.245941,1.025926,3.469038,5.216712,5.07236
-0.3491211,0.8959961,0.4296875,-0.1938477,-0.7958984,0.5893555,2,-4,-2,2,-1,2,0,12,1,-1,-4,-8,-4,-3,0,-2,18.3125,18.3125,18.3125,9.375,9.375,9.375,6.670578,5.269008,1.01028,3.475779,5.229978,5.067415
-0.2412109,0.7363281,0.4614258,-0.2504883,-0.8461914,0.5263672,6,0,-1,-1,4,11,4,35,-4,-4,-11,-7,0,14,-1,-2,10.75,10.75,10.75,6.625,6.625,6.625,6.672081,5.298654,0.9815298,3.477185,5.239642,5.068443
-0.1855469,0.7294922,0.46875,-0.2128906,-0.8549805,0.5673828,1,-2,-7,-15,24,-10,-8,-11,-1,-2,-1,-3,-3,-8,-1,-5,9.125,9.125,9.125,6.75,6.75,6.75,6.669619,5.272278,0.9530376,3.481209,5.276374,5.081825
-0.04541016,0.8505859,0.4394531,-0.1879883,-0.7910156,0.5585938,1,2,2,6,4,0,-13,-26,-2,-2,-4,-1,0,-2,0,0,74.125,74.125,74.125,-7.8125,-7.8125,-7.8125,6.722692,5.222646,0.9140508,3.477211,5.29735,5.09248
-0.04541016,0.8505859,0.4394531,-0.1796875,-0.8125,0.5380859,-2,-20,-12,-4,4,-8,5,-10,0,0,0,-2,-2,4,-3,0,74.125,74.125,74.125,-9.0625,-9.0625,-9.0625,6.722692,5.222646,0.9140508,3.468291,5.306198,5.110126
-0.08154297,0.9208984,0.5366211,-0.1630859,-0.7827148,0.5400391,-7,24,14,-2,-17,2,-10,1,-1,-1,-4,-6,-6,-3,-2,-6,-26.75,-26.75,-26.75,-12.5,-12.5,-12.5,6.772144,5.129245,0.9290769,3.459808,5.300591,5.125666
0.02392578,0.90625,0.4301758,-0.1708984,-0.8276367,0.5551758,2,-2,3,10,-8,6,16,11,-2,-4,-9,-9,1,6,1,-1,19.5625,19.5625,19.5625,-13.6875,-13.6875,-13.6875,6.784321,5.085854,0.9720477,3.446805,5.281953,5.136519
-0.1186523,1.108887,0.6005859,-0.1235352,-0.8056641,0.5864258,-16,-65,5,7,-7,-5,0,0,-1,1,1,-1,-6,-9,-5,-3,-1.9375,-1.9375,-1.9375,-9.9375,-9.9375,-9.9375,6.782199,5.078609,0.9979957,3.439337,5.254018,5.145341
