ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,,,,,,,,,,,
0.9379883,0.2719727,0.03369141,0.9414063,-0.3466797,0.04003906,-1,0,-1,-1,0,-2,-3,2,-10,-5,8,2,0,-1,-1,-1,1.6875,1.6875,1.6875,2.25,2.25,2.25,7.503014,2.956664,8.154665,2.717674,3.065078,6.458278,,,,,,,,,,,
0.9365234,0.2700195,0.01855469,0.9355469,-0.3461914,0.03417969,3,1,1,1,0,-1,-5,26,-1,-4,-6,-5,-1,1,4,-4,-0.4375,-0.4375,-0.4375,-0.125,-0.125,-0.125,7.504933,2.95473,8.15232,2.712329,3.064645,6.464293,,,,,,,,,,,
0.9350586,0.2714844,0.02001953,0.9355469,-0.3432617,0.04248047,0,-2,-1,-1,-2,0,-1,8,1,0,0,1,-1,-2,-3,4,-0.625,-0.625,-0.625,-3.5,-3.5,-3.5,7.503373,2.952375,8.152397,2.702711,3.063369,6.471364,,,,,,,,,,,
0.9365234,0.2695313,0.02148438,0.9458008,-0.3583984,0.03808594,1,-2,-1,-1,-1,-1,1,-4,-6,11,-3,15,-10,-4,-7,-7,-0.1875,-0.1875,-0.1875,-4.375,-4.375,-4.375,7.500037,2.950467,8.154881,2.69098,3.063943,6.478003,,,,,,,,,,,
0.934082,0.2797852,0.01708984,0.9428711,-0.3852539,0.02050781,-1,-2,-1,-3,-1,0,0,0,2,-1,-1,1,-1,1,-2,24,-1.1875,-1.1875,-1.1875,-12.5625,-12.5625,-12.5625,7.49988,2.949544,8.154538,2.676129,3.069242,6.48432,,,,,,,,,,,
0.9658203,0.2832031,-0.000488281,0.9902344,-0.4121094,0.06201172,-1,-2,-1,0,1,-2,1,1,2,25,-2,19,19,0,4,-4,-3.875,-3.875,-3.875,-14.0625,-14.0625,-14.0625,7.489504,2.950876,8.161774,2.68618,3.0878,6.45115,,,,,,,,,,,
0.9619141,0.2939453,-0.002929688,0.9560547,-0.4047852,0.04443359,-1,1,1,1,-1,3,3,-1,-1,2,-3,-7,-10,1,-1,2,7.6875,7.6875,7.6875,-3.75,-3.75,-3.75,7.458871,2.960555,8.198681,2.761873,3.122571,6.363914,,,,,,,,,,,
0.9731445,0.3442383,0.03613281,0.9995117,-0.3896484,0.105957,-3,-4,-5,-5,-2,-2,-3,-11,-2,2,1,30,60,7,-2,17,-2.625,-2.625,-2.625,-20.625,-20.625,-20.625,7.391161,2.983072,8.269973,2.853683,3.175029,6.242115,,,,,,,,,,,
0.9599609,0.3798828,0.0625,0.9819336,-0.4423828,0.1518555,0,5,23,4,2,1,-1,-3,-1,8,-1,17,59,8,-2,-7,-2.3125,-2.3125,-2.3125,-34.625,-34.625,-34.625,7.294902,3.027902,8.366576,2.954868,3.250805,6.092226,,,,,,,,,,,
1.003906,0.4287109,0.1225586,0.9604492,-0.6450195,0.2426758,-3,-10,-32,1,1,1,1,3,-3,0,0,-4,-8,7,-2,-9,14.1875,14.1875,14.1875,-29.25,-29.25,-29.25,7.131518,3.14198,8.552128,3.078917,3.430234,5.878004,,,,,,,,,,,
