ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR
-0.2827148,0.7402344,0.4384766,-0.59375,-0.8803711,0.3081055,6,1,-1,-6,5,0,-1,15,-3,-2,0,-8,-8,0,3,3,9.125,9.125,9.125,2.375,2.375,2.375,6.7253,5.400988,1.40801,3.366851,5.218659,5.104467
-0.2387695,0.8271484,0.4296875,0.2192383,-0.7949219,0.3505859,-3,-2,-1,4,0,14,-4,-32,1,-1,1,7,2,7,-3,1,3.5625,3.5625,3.5625,6.5625,6.5625,6.5625,6.7235,5.380856,1.391151,3.372914,5.225102,5.105186
-0.1025391,0.7529297,0.5004883,-0.3999023,-0.8256836,0.3334961,8,1,8,-36,-41,43,7,13,-5,-1,-1,0,0,-1,2,-1,26.5625,26.5625,26.5625,-0.875,-0.875,-0.875,6.712538,5.276035,1.377576,3.364599,5.262953,5.097133
-0.06445313,0.940918,0.4921875,-0.7875977,-0.8759766,0.3217773,2,-5,-5,-6,-16,14,16,4,-1,-3,-14,-13,1,-1,-3,0,83.625,83.625,83.625,5.5,5.5,5.5,6.758679,5.240181,1.378666,3.357917,5.289822,5.098577
-0.07519531,1.272949,0.4238281,0.5791016,-0.6655273,0.5791016,3,10,-2,-17,-1,13,25,22,2,1,9,8,-2,-4,-4,-3,36.875,36.875,36.875,-16,-16,-16,6.843556,5.170603,1.423557,3.364755,5.26105,5.12065
0.1982422,0.8955078,0.3461914,0.2441406,-0.6738281,0.4584961,1,4,9,-1,18,4,0,11,-1,-1,19,32,2,-1,0,-4,-66.0625,-66.0625,-66.0625,-16.625,-16.625,-16.625,6.802533,5.108116,1.477607,3.348793,5.211506,5.135487
-0.1679688,0.9018555,0.644043,0.3535156,-0.9189453,0.9145508,-4,15,-2,0,13,6,-10,-23,-3,0,1,-2,1,-1,-1,-2,-33.0625,-33.0625,-33.0625,-8.1875,-8.1875,-8.1875,6.752558,5.081616,1.525966,3.363927,5.139606,5.149505
-0.3339844,0.9814453,0.5576172,-0.7475586,-0.9677734,0.1293945,8,24,-3,2,1,1,8,10,-3,1,2,7,-1,-4,3,2,-99.8125,-99.8125,-99.8125,0.4375,0.4375,0.4375,6.657568,5.120919,1.557542,3.349387,5.15154,5.148966
-0.2636719,0.8227539,0.5400391,-0.4272461,-1.094238,0.5561523,-9,-11,-1,3,3,3,7,1,-2,1,-10,-9,10,3,-2,3,-84.5625,-84.5625,-84.5625,-7.5,-7.5,-7.5,6.60964,5.151434,1.55528,3.356301,5.12181,5.145558
-0.2583008,0.7744141,0.5356445,-0.7177734,-1.088379,0.07666016,-4,1,1,-30,57,18,3,8,-3,2,0,3,-3,-3,-2,-3,-10.875,-10.875,-10.875,8,8,8,6.571851,5.224097,1.523237,3.360365,5.119289,5.132924
-0.2441406,0.7866211,0.4985352,0.02001953,-0.6210938,0.7426758,2,2,-3,-31,37,-1,-3,-7,-2,-5,-2,-1,5,12,8,0,1.8125,1.8125,1.8125,8.5625,8.5625,8.5625,6.568686,5.280339,1.479482,3.394967,5.095367,5.123692
-0.2592773,0.8115234,0.3305664,-0.6342773,-1.149902,0.08056641,-4,-20,-11,-11,-47,-15,0,-13,-3,0,-7,-13,-8,-12,-9,-4,49.6875,49.6875,49.6875,12.625,12.625,12.625,6.600757,5.307595,1.436867,3.361874,5.149125,5.110068
0.01416016,0.9570313,0.4794922,0.06689453,-0.9633789,0.7236328,-2,-4,-6,-13,-15,-7,-3,-1,-1,-2,0,3,0,3,-7,-3,53.4375,53.4375,53.4375,0.5,0.5,0.5,6.67145,5.277575,1.416226,3.369343,5.154,5.112007
0.02392578,1.009766,0.5351563,0.07373047,-1.041016,0.8276367,-5,-12,0,48,10,5,2,-3,-3,-4,-4,-5,-6,-10,8,-6,-4.5625,-4.5625,-4.5625,-5.375,-5.375,-5.375,6.671746,5.248199,1.423768,3.378488,5.137027,5.11771
-0.2368164,0.7758789,0.65625,-0.1821289,-1.12207,0.5410156,5,0,-8,-8,-6,2,-2,6,0,-2,-5,4,-1,-1,4,1,-26.0625,-26.0625,-26.0625,13.0625,13.0625,13.0625,6.624909,5.220125,1.431864,3.380481,5.141601,5.116559
-0.2456055,0.8618164,0.4892578,-0.6855469,-0.9814453,-0.3662109,0,17,0,2,3,-5,3,-2,-3,-3,-6,-3,3,5,-1,2,7.875,7.875,7.875,10.9375,10.9375,10.9375,6.627174,5.223209,1.423763,3.341522,5.192195,5.107543
-0.1850586,0.8935547,0.4956055,0.3916016,-0.6376953,1.446777,-4,-9,-1,-4,0,-2,11,-6,0,-2,-1,-5,-3,-2,5,-1,4.1875,4.1875,4.1875,-19.75,-19.75,-19.75,6.635719,5.225939,1.419517,3.368691,5.173533,5.12204
-0.1958008,0.8671875,0.5424805,-0.05810547,-0.8925781,0.5620117,0,-4,-3,-8,8,2,-4,-5,1,-2,4,4,-5,-1,-14,0,-5.5625,-5.5625,-5.5625,7.375,7.375,7.375,6.627836,5.230258,1.409153,3.371306,5.162684,5.132017
-0.184082,0.8481445,0.5449219,-0.1362305,-0.8017578,0.519043,-3,-3,-2,0,0,0,1,4,-2,-1,-7,-10,1,3,-3,1,-5.1875,-5.1875,-5.1875,1.3125,1.3125,1.3125,6.622945,5.233138,1.400294,3.380382,5.161261,5.136173
-0.1782227,0.8374023,0.534668,-0.1328125,-0.8476563,0.515625,3,0,1,-24,1,0,4,0,1,-2,-2,-4,-5,-3,0,-3,-1.375,-1.375,-1.375,-9.25,-9.25,-9.25,6.617379,5.237081,1.390308,3.375552,5.159749,5.140013
-0.1816406,0.8583984,0.519043,-0.09326172,-0.8798828,0.5664063,3,3,4,-5,-3,4,-5,2,-1,-2,1,3,-1,-1,7,-2,7,7,7,-2.0625,-2.0625,-2.0625,6.621161,5.239004,1.385086,3.370196,5.154552,5.144357
