ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,,,,,,,,,,
0.925293,0.300293,0.05224609,0.9282227,-0.3603516,0.07275391,-1,-2,0,-1,-2,0,-1,0,-2,-1,0,-2,-2,0,-2,-3,-0.4375,-0.4375,-0.4375,0,0,0,7.389039,2.998112,9.067176,2.794392,3.102044,6.436809,,,,,,,,,,
0.9233398,0.3061523,0.046875,0.9228516,-0.3608398,0.06640625,-1,1,-1,0,-1,-1,2,0,-2,-3,-1,-1,0,-2,-1,-3,-0.4375,-0.4375,-0.4375,0.6875,0.6875,0.6875,7.390045,2.998658,9.064981,2.79442,3.10237,6.436823,,,,,,,,,,
0.9262695,0.3066406,0.05615234,0.9213867,-0.3598633,0.07080078,-1,-1,-1,-1,-2,0,1,1,0,0,-1,-2,-2,-1,-1,-2,0.3125,0.3125,0.3125,-0.0625,-0.0625,-0.0625,7.389106,2.999223,9.064761,2.794392,3.102044,6.436809,,,,,,,,,,
0.9233398,0.3017578,0.0546875,0.9189453,-0.3647461,0.08105469,-1,-1,0,-2,0,0,1,1,1,-1,-2,0,-2,-2,0,-4,0.6875,0.6875,0.6875,-1.1875,-1.1875,-1.1875,7.389149,2.999118,9.064991,2.795229,3.102647,6.435385,,,,,,,,,,
0.921875,0.300293,0.04980469,0.9257813,-0.3652344,0.06689453,0,0,0,-2,-1,0,-1,-3,0,-2,-1,-2,0,-1,0,-1,-0.625,-0.625,-0.625,1.0625,1.0625,1.0625,7.388902,2.999611,9.063973,2.795816,3.10267,6.435368,,,,,,,,,,
0.9287109,0.2993164,0.05224609,0.9277344,-0.3583984,0.06738281,-1,-1,0,-1,0,0,-3,0,1,-2,0,-1,-2,-2,-1,-2,-0.4375,-0.4375,-0.4375,0.125,0.125,0.125,7.387491,2.999842,9.06459,2.796183,3.102694,6.435166,,,,,,,,,,
0.9296875,0.2988281,0.05419922,0.9282227,-0.3579102,0.06787109,-2,-1,-1,0,-1,0,-2,-3,-1,-2,0,0,-1,0,-2,-1,0.125,0.125,0.125,-0.0625,-0.0625,-0.0625,7.385623,3.00001,9.066429,2.796244,3.102543,6.434966,,,,,,,,,,
0.9233398,0.3032227,0.04931641,0.9199219,-0.3569336,0.07421875,-3,-2,-3,0,-1,1,0,0,-3,-1,-2,-2,0,-3,0,-1,-0.625,-0.625,-0.625,0.125,0.125,0.125,7.382632,3.000782,9.068593,2.796244,3.102543,6.434966,,,,,,,,,,
0.9204102,0.2973633,0.05810547,0.9262695,-0.3623047,0.06933594,-2,-1,-1,-1,-1,-1,0,-1,-2,-1,-2,-1,-2,-2,8,1,-0.0625,-0.0625,-0.0625,1.25,1.25,1.25,7.378962,3.000781,9.071974,2.79677,3.102718,6.43515,,,,,,,,,,
0.9238281,0.2983398,0.05419922,0.9267578,-0.3579102,0.06933594,-2,-1,0,0,1,0,-1,-2,-1,-1,1,-1,-1,2,0,-4,0.875,0.875,0.875,0.9375,0.9375,0.9375,7.376299,3.000978,9.074507,2.796761,3.102172,6.436139,,,,,,,,,,
