ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,,,,,,,,,,,
0.9345703,0.277832,0.02197266,0.9384766,-0.3457031,0.04492188,0,1,1,-1,-2,-2,1,4,-2,-2,0,-2,-1,0,1,-3,0.1875,0.1875,0.1875,-1.5625,-1.5625,-1.5625,7.487461,2.962115,8.031075,2.663521,3.060009,6.548748,,,,,,,,,,,
0.9365234,0.2807617,0.02539063,0.9399414,-0.3427734,0.03515625,-5,-1,-1,-1,-2,1,-2,-14,-1,1,1,0,-2,-2,1,0,0.375,0.375,0.375,-0.4375,-0.4375,-0.4375,7.490201,2.961733,8.028956,2.666019,3.060385,6.545369,,,,,,,,,,,
0.9345703,0.2763672,0.03369141,0.9394531,-0.3369141,0.03125,-1,-2,-2,-1,-1,0,1,-10,0,-1,2,-4,-2,-4,0,2,0.125,0.125,0.125,-1.375,-1.375,-1.375,7.493271,2.96149,8.025472,2.668504,3.061458,6.541737,,,,,,,,,,,
0.9326172,0.2753906,0.03125,0.940918,-0.3393555,0.03320313,2,1,1,0,0,-1,-7,15,-1,-2,-2,-3,0,0,-2,-1,-0.1875,-0.1875,-0.1875,-1.625,-1.625,-1.625,7.495805,2.961244,8.020838,2.668649,3.061339,6.539376,,,,,,,,,,,
0.9311523,0.2783203,0.03027344,0.9379883,-0.340332,0.0390625,-1,-1,-3,-1,-1,-1,1,-6,0,0,-2,-1,0,0,-4,0,0,0,0,-1.375,-1.375,-1.375,7.496431,2.96152,8.019443,2.669132,3.061765,6.537014,,,,,,,,,,,
0.9331055,0.2832031,0.03076172,0.9365234,-0.3378906,0.03173828,-1,-1,-1,0,1,0,-1,-4,-1,0,3,0,0,-3,-1,-1,-0.5625,-0.5625,-0.5625,-1.9375,-1.9375,-1.9375,7.498306,2.961141,8.017391,2.668016,3.061231,6.535983,,,,,,,,,,,
0.9326172,0.2792969,0.02929688,0.9384766,-0.3369141,0.02832031,-1,0,-2,-2,-1,0,-1,-8,-3,-2,-1,-1,-2,0,-3,-3,-0.375,-0.375,-0.375,-1.875,-1.875,-1.875,7.499315,2.961363,8.014346,2.665174,3.060919,6.536565,,,,,,,,,,,
0.9296875,0.2753906,0.02685547,0.9355469,-0.3334961,0.03710938,-4,-3,-2,0,-1,-2,5,-5,-2,-3,-13,0,-2,-3,-4,-1,-0.4375,-0.4375,-0.4375,-2.125,-2.125,-2.125,7.499363,2.96105,8.013762,2.663836,3.059871,6.535503,,,,,,,,,,,
0.934082,0.2773438,0.01953125,0.9443359,-0.3383789,0.03076172,-2,0,-2,0,0,-1,-1,2,1,-1,0,-2,0,-1,0,0,-0.3125,-0.3125,-0.3125,-2.5625,-2.5625,-2.5625,7.502842,2.960341,8.00862,2.658866,3.059389,6.537902,,,,,,,,,,,
0.9345703,0.284668,0.02539063,0.9414063,-0.3393555,0.04199219,-2,-1,-1,-2,0,0,-1,0,0,-1,1,-4,-3,-3,-2,-1,0.375,0.375,0.375,0.5625,0.5625,0.5625,7.505309,2.960427,8.005455,2.657637,3.058814,6.538144,,,,,,,,,,,
