ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,,,,,,,,,,,,,,
0.9814453,0.3813477,0.046875,1.007324,-0.4223633,0.1533203,1,-1,3,0,1,-1,1,1,1,1,3,51,80,24,5,1,8.625,8.625,8.625,-13.3125,-13.3125,-13.3125,7.316889,3.073625,8.334209,2.93582,3.206356,6.044673,,,,,,,,,,,,,,
0.9907227,0.4179688,0.08691406,0.9702148,-0.53125,0.2441406,-2,-3,5,0,-3,-3,1,-2,-3,-2,0,6,-4,-11,-1,0,14.875,14.875,14.875,-22.625,-22.625,-22.625,7.224041,3.127583,8.446896,3.091062,3.338809,5.83003,,,,,,,,,,,,,,
1.005859,0.453125,0.1118164,0.9169922,-0.5615234,0.2963867,-1,-23,-32,7,-2,0,-8,-2,0,-1,-6,-14,-19,0,-3,1,15.0625,15.0625,15.0625,-20.25,-20.25,-20.25,7.169983,3.16573,8.514406,3.142833,3.397372,5.75783,,,,,,,,,,,,,,
1.008789,0.5981445,0.2441406,0.815918,-0.628418,0.3793945,2,12,6,1,0,5,6,-2,0,4,21,12,4,0,-1,0,2.1875,2.1875,2.1875,-10.6875,-10.6875,-10.6875,6.989469,3.338718,8.73379,3.233433,3.529075,5.627126,,,,,,,,,,,,,,
0.8666992,0.6113281,0.3173828,0.7202148,-0.7006836,0.434082,-5,-9,-4,-29,-6,1,2,-4,0,1,2,-16,-31,-10,-1,-1,-17.3125,-17.3125,-17.3125,1.9375,1.9375,1.9375,6.866004,3.500147,8.863307,3.318126,3.685067,5.515513,,,,,,,,,,,,,,
0.7416992,0.6811523,0.4316406,0.6259766,-0.637207,0.4628906,-3,-21,4,-19,-15,-2,0,-2,-2,0,4,-10,-44,-22,-2,-2,7.375,7.375,7.375,11.4375,11.4375,11.4375,6.795991,3.694666,8.955873,3.403385,3.852745,5.41364,,,,,,,,,,,,,,
0.5849609,0.8256836,0.4516602,0.5454102,-0.6640625,0.5195313,5,26,27,7,-1,1,0,-2,-3,-2,-8,-12,-2,-8,-5,-4,-5.0625,-5.0625,-5.0625,14.625,14.625,14.625,6.745784,3.91555,9.03104,3.474344,4.032423,5.321383,,,,,,,,,,,,,,
0.453125,0.6538086,0.4633789,0.4174805,-0.6660156,0.5063477,-1,-1,6,74,32,1,4,3,-2,3,7,10,12,-25,-4,0,-23.4375,-23.4375,-23.4375,8.3125,8.3125,8.3125,6.680742,4.144924,9.099287,3.526696,4.220968,5.242923,,,,,,,,,,,,,,
0.2651367,0.6899414,0.4511719,0.3588867,-0.6899414,0.5385742,2,8,4,2,2,3,4,-2,-3,0,3,-3,-13,2,-3,-4,8.1875,8.1875,8.1875,12,12,12,6.661212,4.373258,9.147125,3.566588,4.402408,5.17601,,,,,,,,,,,,,,
0.1860352,0.75,0.4228516,0.2875977,-0.690918,0.5263672,-1,-10,-27,-11,-1,-1,1,2,-1,0,3,4,7,15,2,1,6.375,6.375,6.375,8.0625,8.0625,8.0625,6.660409,4.578368,9.177427,3.592782,4.570494,5.12394,,,,,,,,,,,,,,
0.1723633,0.7216797,0.4443359,0.2226563,-0.7001953,0.5327148,1,3,12,9,3,-2,-2,1,-1,-2,-1,2,0,4,0,-2,2.875,2.875,2.875,-2.3125,-2.3125,-2.3125,6.659279,4.751346,9.195372,3.600764,4.714701,5.084054,,,,,,,,,,,,,,
0.08056641,0.7851563,0.4282227,0.1381836,-0.7514648,0.6132813,-3,-4,-4,-15,0,1,4,-2,-3,-4,-3,-5,3,-7,-6,-4,12.1875,12.1875,12.1875,-7.5625,-7.5625,-7.5625,6.671279,4.889726,9.201983,3.597036,4.834049,5.058338,,,,,,,,,,,,,,
0.06884766,0.7680664,0.4716797,0.1171875,-0.7636719,0.5625,3,2,1,7,44,8,6,8,-2,-2,2,-2,4,-4,-1,-1,17.1875,17.1875,17.1875,-0.75,-0.75,-0.75,6.687724,4.983891,9.201185,3.594561,4.925829,5.044521,,,,,,,,,,,,,,
0.08740234,0.8115234,0.4853516,0.07958984,-0.7436523,0.6186523,1,-6,7,12,2,-2,-9,1,-4,-3,2,-5,5,11,-10,-6,16.75,16.75,16.75,-13.0625,-13.0625,-13.0625,6.705381,5.044965,9.20245,3.583074,4.996232,5.034518,,,,,,,,,,,,,,
-0.1416016,0.8574219,0.425293,0.005859375,-0.7695313,0.6079102,0,6,1,5,-5,0,0,-3,2,0,-2,-3,-3,-10,-2,0,18.3125,18.3125,18.3125,-3.875,-3.875,-3.875,6.716761,5.070304,9.202147,3.575893,5.050184,5.029583,,,,,,,,,,,,,,
-0.2314453,0.6083984,0.8164063,-0.04101563,-0.7104492,0.5874023,0,-10,-8,1,14,-2,0,-1,-1,-2,-4,0,4,-1,1,-2,-2.8125,-2.8125,-2.8125,-16.0625,-16.0625,-16.0625,6.714427,5.104249,9.204235,3.564924,5.087461,5.03128,,,,,,,,,,,,,,
0.2045898,0.6083984,0.9624023,0.02392578,-0.8056641,0.5991211,16,10,-3,-12,-15,-1,6,1,-1,-2,-2,-12,-8,-2,1,-1,6.9375,6.9375,6.9375,-16.0625,-16.0625,-16.0625,6.67991,5.09235,9.211223,3.544199,5.101018,5.036277,,,,,,,,,,,,,,
-0.3183594,0.6430664,0.7680664,-0.01269531,-0.7641602,0.6923828,-1,-2,1,40,-52,-11,-8,2,-1,-1,6,13,2,-4,-1,-2,-8.25,-8.25,-8.25,-1.5625,-1.5625,-1.5625,6.677402,5.126209,9.230597,3.543953,5.106502,5.035085,,,,,,,,,,,,,,
-0.6147461,0.8637695,0.152832,-0.03808594,-0.7709961,0.6035156,1,-5,-4,-14,10,0,3,10,-2,-2,-6,-4,-11,-1,0,-4,-2.1875,-2.1875,-2.1875,-5.1875,-5.1875,-5.1875,6.681626,5.128441,9.234166,3.542578,5.116778,5.034754,,,,,,,,,,,,,,
-0.2988281,0.9741211,0.6450195,-0.08984375,-0.8266602,0.6303711,-5,-3,-5,-4,8,1,-1,-2,-2,-3,-2,-2,-7,-5,-5,-3,5.0625,5.0625,5.0625,-2.6875,-2.6875,-2.6875,6.682387,5.121295,9.226695,3.536221,5.121545,5.034369,,,,,,,,,,,,,,
-0.7436523,0.9111328,0.3481445,-0.1040039,-0.7646484,0.6308594,-2,3,2,-25,20,9,9,0,-2,3,-1,5,-2,-14,-5,-3,-14.6875,-14.6875,-14.6875,6.4375,6.4375,6.4375,6.687531,5.150172,9.213453,3.544776,5.124292,5.025062,,,,,,,,,,,,,,
-0.7436523,0.9111328,0.3481445,-0.1040039,-0.7646484,0.6308594,-2,3,2,-25,20,9,9,0,-2,3,-1,5,-2,-14,-5,-3,-14.6875,-14.6875,-14.6875,6.4375,6.4375,6.4375,6.687531,5.150172,9.213453,3.544776,5.124292,5.025062,,,,,,,,,,,,,,
-0.6386719,0.6499023,0.7529297,-0.1542969,-0.8261719,0.6425781,5,30,13,9,4,0,-1,-4,-1,-1,5,6,-5,4,2,1,-7.125,-7.125,-7.125,-6.25,-6.25,-6.25,6.648151,5.210794,9.187352,3.541798,5.138718,5.015467,,,,,,,,,,,,,,
-0.9038086,0.7211914,0.4375,-0.1728516,-0.7988281,0.5942383,6,2,-5,6,-4,-1,1,14,1,0,0,4,2,-1,-1,1,-2,-2,-2,2,2,2,6.644796,5.252556,9.17334,3.543388,5.178254,5.006906,,,,,,,,,,,,,,
-0.6870117,0.8999023,0.1455078,-0.1494141,-0.7807617,0.6186523,-2,-4,-2,4,8,13,-1,4,-2,1,4,1,-2,-3,-1,-1,14.8125,14.8125,14.8125,-6.1875,-6.1875,-6.1875,6.672158,5.261615,9.149044,3.540597,5.192878,5.006037,,,,,,,,,,,,,,
0.009765625,0.8183594,0.559082,-0.1586914,-0.8276367,0.6044922,-4,-11,-9,18,-76,9,-25,-14,-2,-1,0,-7,6,5,1,0,-5.75,-5.75,-5.75,-2.8125,-2.8125,-2.8125,6.663289,5.212935,9.150607,3.533904,5.223894,5.005036,,,,,,,,,,,,,,
